datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,year,month,day,hour,dataset
2011-01-01 00:00:00,1.0,0.0,0.0,1.0,9.84,14.395,81.0,6.479491095914098,3.0,13.0,16.0,1.0,1.0,1.0,0.0,train
2011-01-01 01:00:00,1.0,0.0,0.0,1.0,9.02,13.635,80.0,6.512716264475935,8.0,32.0,40.0,1.0,1.0,1.0,1.0,train
2011-01-01 02:00:00,1.0,0.0,0.0,1.0,9.02,13.635,80.0,6.485972475893304,5.0,27.0,32.0,1.0,1.0,1.0,2.0,train
2011-01-01 03:00:00,1.0,0.0,0.0,1.0,9.84,14.395,75.0,5.462379803396727,3.0,10.0,13.0,1.0,1.0,1.0,3.0,train
2011-01-01 04:00:00,1.0,0.0,0.0,1.0,9.84,14.395,75.0,10.252328240482337,0.0,1.0,1.0,1.0,1.0,1.0,4.0,train
2011-01-01 05:00:00,1.0,0.0,0.0,2.0,9.84,12.88,75.0,6.0032,0.0,1.0,1.0,1.0,1.0,1.0,5.0,train
2011-01-01 06:00:00,1.0,0.0,0.0,1.0,9.02,13.635,80.0,7.700740053816054,2.0,0.0,2.0,1.0,1.0,1.0,6.0,train
2011-01-01 07:00:00,1.0,0.0,0.0,1.0,8.2,12.88,86.0,11.504300052500522,1.0,2.0,3.0,1.0,1.0,1.0,7.0,train
2011-01-01 08:00:00,1.0,0.0,0.0,1.0,9.84,14.395,75.0,13.785870800638907,1.0,7.0,8.0,1.0,1.0,1.0,8.0,train
2011-01-01 09:00:00,1.0,0.0,0.0,1.0,13.12,17.425,76.0,15.741931688344442,8.0,6.0,14.0,1.0,1.0,1.0,9.0,train
2011-01-01 10:00:00,1.0,0.0,0.0,1.0,15.58,19.695,76.0,16.9979,12.0,24.0,36.0,1.0,1.0,1.0,10.0,train
2011-01-01 11:00:00,1.0,0.0,0.0,1.0,14.76,16.665,81.0,19.0012,26.0,30.0,56.0,1.0,1.0,1.0,11.0,train
2011-01-01 12:00:00,1.0,0.0,0.0,1.0,17.22,21.21,77.0,19.0012,29.0,55.0,84.0,1.0,1.0,1.0,12.0,train
2011-01-01 13:00:00,1.0,0.0,0.0,2.0,18.86,22.725,72.0,19.9995,47.0,47.0,94.0,1.0,1.0,1.0,13.0,train
2011-01-01 14:00:00,1.0,0.0,0.0,2.0,18.86,22.725,72.0,19.0012,35.0,71.0,106.0,1.0,1.0,1.0,14.0,train
2011-01-01 15:00:00,1.0,0.0,0.0,2.0,18.04,21.97,77.0,19.9995,40.0,70.0,110.0,1.0,1.0,1.0,15.0,train
2011-01-01 16:00:00,1.0,0.0,0.0,2.0,17.22,21.21,82.0,19.9995,41.0,52.0,93.0,1.0,1.0,1.0,16.0,train
2011-01-01 17:00:00,1.0,0.0,0.0,2.0,18.04,21.97,82.0,19.0012,15.0,52.0,67.0,1.0,1.0,1.0,17.0,train
2011-01-01 18:00:00,1.0,0.0,0.0,3.0,17.22,21.21,88.0,16.9979,9.0,26.0,35.0,1.0,1.0,1.0,18.0,train
2011-01-01 19:00:00,1.0,0.0,0.0,3.0,17.22,21.21,88.0,16.9979,6.0,31.0,37.0,1.0,1.0,1.0,19.0,train
2011-01-01 20:00:00,1.0,0.0,0.0,2.0,16.4,20.455,87.0,16.9979,11.0,25.0,36.0,1.0,1.0,1.0,20.0,train
2011-01-01 21:00:00,1.0,0.0,0.0,2.0,16.4,20.455,87.0,12.998,3.0,31.0,34.0,1.0,1.0,1.0,21.0,train
2011-01-01 22:00:00,1.0,0.0,0.0,2.0,16.4,20.455,94.0,15.0013,11.0,17.0,28.0,1.0,1.0,1.0,22.0,train
2011-01-01 23:00:00,1.0,0.0,0.0,2.0,18.86,22.725,88.0,19.9995,15.0,24.0,39.0,1.0,1.0,1.0,23.0,train
2011-01-02 00:00:00,1.0,0.0,0.0,2.0,18.86,22.725,88.0,19.9995,4.0,13.0,17.0,1.0,1.0,2.0,0.0,train
2011-01-02 01:00:00,1.0,0.0,0.0,2.0,18.04,21.97,94.0,16.9979,1.0,16.0,17.0,1.0,1.0,2.0,1.0,train
2011-01-02 02:00:00,1.0,0.0,0.0,2.0,17.22,21.21,100.0,19.0012,1.0,8.0,9.0,1.0,1.0,2.0,2.0,train
2011-01-02 03:00:00,1.0,0.0,0.0,2.0,18.86,22.725,94.0,12.998,2.0,4.0,6.0,1.0,1.0,2.0,3.0,train
2011-01-02 04:00:00,1.0,0.0,0.0,2.0,18.86,22.725,94.0,12.998,2.0,1.0,3.0,1.0,1.0,2.0,4.0,train
2011-01-02 06:00:00,1.0,0.0,0.0,3.0,17.22,21.21,77.0,19.9995,0.0,2.0,2.0,1.0,1.0,2.0,6.0,train
2011-01-02 07:00:00,1.0,0.0,0.0,2.0,16.4,20.455,76.0,12.998,0.0,1.0,1.0,1.0,1.0,2.0,7.0,train
2011-01-02 08:00:00,1.0,0.0,0.0,3.0,16.4,20.455,71.0,15.0013,0.0,8.0,8.0,1.0,1.0,2.0,8.0,train
2011-01-02 09:00:00,1.0,0.0,0.0,2.0,15.58,19.695,76.0,15.0013,1.0,19.0,20.0,1.0,1.0,2.0,9.0,train
